代码,简称,截至日期,家数,本期持股数(万股),持股占已流通A股比例(%),同上期增减(万股),持股比例(%),上期家数
425,徐工机械,2023-03-31,6,26080.6939,2.21,15249.5565,0.92,4
426,兴业矿业,2023-03-31,1,1894.31,1.03,1894.31,0.0,0
428,华天酒店,2023-03-31,1,366.07,0.36,62.76,0.3,1
600754,锦江酒店,2023-03-31,3,1703.6117,1.59,-1098.4652,2.62,4
600755,厦门国贸,2023-03-31,2,4841.8057,2.2,-1330.5217,2.8,3
600756,浪潮软件,2023-03-31,2,349.068,1.08,33.55,0.97,2
600757,长江传媒,2023-03-31,3,4227.0911,3.48,780.6673,2.84,3
600758,辽宁能源,2023-03-31,2,1789.3338,1.35,-457.2501,1.7,2
600760,中航沈飞,2023-03-31,3,4186.6534,2.14,410.5275,1.93,3
600763,通策医疗,2023-03-31,6,3466.3845,10.81,-30.6642,10.91,6
600765,中航重机,2023-03-31,3,4426.0978,3.01,-1502.0153,4.03,3
600768,宁波富邦,2023-03-31,2,233.0302,1.74,233.0302,0.0,0
600773,西藏城投,2023-03-31,4,3276.044,4.0,-1518.2872,5.85,5
600779,水井坊,2023-03-31,3,1507.1596,3.09,-391.2136,3.89,3
600782,新钢股份,2023-03-31,2,8472.4171,2.66,-3620.0135,3.79,4
600787,中储股份,2023-03-31,1,542.2692,0.25,-184.31,0.33,1
600789,鲁抗医药,2023-03-31,2,1517.8812,1.71,1078.411,0.5,1
600792,云煤能源,2023-03-31,3,1891.6751,1.91,-378.789,2.29,3
600796,钱江生化,2023-03-31,1,246.84,0.28,9.73,0.27,1
600801,华新水泥,2023-03-31,2,2411.6581,1.15,-72.3514,1.18,2
600802,福建水泥,2023-03-31,3,978.7629,2.14,749.59,0.5,1
600808,马钢股份,2023-03-31,2,10488.6159,1.35,-938.4064,1.47,2
600809,山西汾酒,2023-03-31,5,5023.5281,4.12,-977.812,4.92,5
600810,神马股份,2023-03-31,1,249.93,0.24,30.2418,0.21,1
600817,宇通重工,2023-03-31,2,1280.42,2.34,781.19,0.91,2
600820,隧道股份,2023-03-31,3,4576.5442,1.46,-1161.1799,1.82,3
600821,金开新能,2023-03-31,2,3493.4768,1.75,739.1852,1.38,1
600826,兰生股份,2023-03-31,1,261.7291,0.49,261.7291,0.0,0
600827,百联股份,2023-03-31,2,1252.6188,0.7,-736.2447,1.11,3
600829,人民同泰,2023-03-31,2,343.9501,0.59,343.9501,0.0,0
600834,申通地铁,2023-03-31,1,225.9966,0.47,6.63,0.46,1
600835,上海机电,2023-03-31,1,369.0203,0.36,369.0203,0.0,0
600837,海通证券,2023-03-31,1,20855.4086,1.6,777.3755,1.54,1
600839,四川长虹,2023-03-31,2,3555.7906,0.77,428.09,0.68,1
600841,动力新科,2023-03-31,1,911.69,0.56,911.69,0.0,0
600843,上工申贝,2023-03-31,1,686.86,0.96,686.86,0.0,0
601607,上海医药,2023-03-31,1,1050.7167,0.28,-2017.8492,0.83,2
600853,龙建股份,2023-03-31,2,964.3132,0.95,964.3132,0.0,0
600854,春兰股份,2023-03-31,1,173.1,0.33,173.1,0.0,0
600859,王府井,2023-03-31,3,4514.2485,3.98,194.8442,3.81,3
600860,京城股份,2023-03-31,1,553.2816,1.02,-93.3881,1.19,1
600861,北京人力,2023-03-31,6,3385.5455,10.69,359.2874,9.55,5
600862,中航高科,2023-03-31,4,7422.3732,5.33,-642.5418,5.79,4
600863,内蒙华电,2023-03-31,5,22243.644,3.41,-2690.8701,3.82,6
600864,哈投股份,2023-03-31,2,3790.4519,1.82,236.4071,1.71,2
600867,通化东宝,2023-03-31,2,3231.9131,1.62,-118.776,1.68,2
600869,远东股份,2023-03-31,4,12344.6898,5.56,-2784.3081,6.82,5
600871,石化油服,2023-03-31,3,7381.37,0.39,2175.77,0.27,2
600872,中炬高新,2023-03-31,2,989.95,1.26,0.0,1.26,2
600873,梅花生物,2023-03-31,2,12478.0433,4.1,-414.62,4.24,2
600875,东方电气,2023-03-31,1,998.3366,0.32,-2434.9834,1.1,3
600877,电科芯片,2023-03-31,2,1397.3401,1.18,696.24,0.59,1
600879,航天电子,2023-03-31,2,3729.8975,1.37,3729.8975,0.0,0
600883,博闻科技,2023-03-31,1,172.6,0.73,6.95,0.7,1
600884,杉杉股份,2023-03-31,3,3386.5159,1.5,-260.4363,1.61,3
600885,宏发股份,2023-03-31,2,2022.4312,1.94,-310.107,2.24,2
600887,伊利股份,2023-03-31,3,23445.7714,3.66,155.3813,3.64,3
600888,新疆众和,2023-03-31,2,1139.5876,0.84,0.0,0.85,2
600889,南京化纤,2023-03-31,4,887.27,2.42,476.39,1.12,2
498,山东路桥,2023-03-31,1,1142.3541,0.73,0.0,0.73,1
501,武商集团,2023-03-31,1,1625.0699,2.11,-797.829,3.15,2
513,丽珠集团,2023-03-31,1,270.5,0.29,-21.7666,0.31,1
514,渝开发,2023-03-31,1,221.39,0.26,43.9,0.21,1
516,国际医学,2023-03-31,3,9938.8403,4.37,-586.3253,4.63,2
517,荣安地产,2023-03-31,2,1180.28,0.37,1180.28,0.0,0
519,中兵红箭,2023-03-31,1,723.0434,0.52,723.0434,0.0,0
524,岭南控股,2023-03-31,5,3013.2991,4.5,385.8969,3.92,4
526,学大教育,2023-03-31,1,69.55,0.59,-60.45,1.1,1
537,广宇发展,2023-03-31,4,2983.9433,1.6,-2426.8525,2.91,6
538,云南白药,2023-03-31,1,718.8692,0.4,718.8692,0.0,0
539,粤电力A,2023-03-31,3,9646.7658,1.84,-3505.851,2.51,4
540,*ST中天,2023-03-31,2,5896.8748,0.84,-449.64,0.91,2
543,皖能电力,2023-03-31,5,10893.3708,4.81,-2106.7708,5.73,6
544,中原环保,2023-03-31,1,129.345,0.13,3.7,0.13,1
547,航天发展,2023-03-31,3,3011.7766,1.88,939.5192,1.29,2
550,江铃汽车,2023-03-31,1,282.0646,0.33,282.0646,0.0,0
552,甘肃能化,2023-03-31,3,3929.6883,0.85,-1754.3641,2.27,4
558,莱茵体育,2023-03-31,1,508.21,0.39,100.87,0.32,1
559,万向钱潮,2023-03-31,2,1793.6818,0.54,672.5708,0.34,1
561,烽火电子,2023-03-31,3,1029.97,1.7,309.3,1.19,2
563,陕国投A,2023-03-31,3,3042.4316,0.59,730.245,0.45,2
568,泸州老窖,2023-03-31,4,8041.051,5.46,-1684.2786,6.61,4
584,ST工智,2023-03-31,1,512.43,0.67,512.43,0.0,0
589,贵州轮胎,2023-03-31,5,4991.7751,4.35,1670.9251,2.89,3
591,太阳能,2023-03-31,1,2912.014,0.74,-1843.2721,1.22,3
596,古井贡酒,2023-03-31,4,3267.6975,6.18,-411.9069,6.96,4
598,兴蓉环境,2023-03-31,2,2393.964,0.8,-33.4159,0.81,2
600,建投能源,2023-03-31,3,2147.4579,1.2,-439.7365,1.44,5
603,盛达资源,2023-03-31,4,4208.443,6.1,492.2723,5.39,4
610,西安旅游,2023-03-31,1,168.11,0.71,30.08,0.58,1
615,*ST美谷,2023-03-31,3,1156.5304,1.52,824.1304,0.44,1
620,*ST新联,2023-03-31,1,623.91,0.33,119.17,0.27,1
623,吉林敖东,2023-03-31,2,1736.8819,1.49,-1375.5039,2.68,4
625,长安汽车,2023-03-31,3,13611.8047,1.37,6419.6617,0.72,1
630,铜陵有色,2023-03-31,4,21512.0764,2.04,3352.6804,1.73,3
631,顺发恒业,2023-03-31,2,1691.35,0.7,1176.04,0.21,1
633,合金投资,2023-03-31,4,1263.64,3.28,236.38,2.67,3
657,中钨高新,2023-03-31,2,1495.7703,1.39,-697.4397,2.04,4
661,长春高新,2023-03-31,4,1592.3522,3.93,620.6031,2.4,2
667,ST美置,2023-03-31,1,1619.74,0.66,306.79,0.53,1
