bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,market_cd,btype,list_dt,qflag2,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,short_maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,bond_nm_tip,redeem_icon,last_time,qstatus,margin_flg,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,notes,volatility_rate
123156,博汇转债,bhzz,137.487,-0.37,300839,博汇股份,bhgf,18.83,1.89,3.51,15.05,125.12,0,9.89,147.38,750303,szcy,C,2022-09-02,N,0,0,buy,A+,,10.54,19.57,26.6,buy,28-08-16,5.408,3.97,3318.45,2038.77,6.02,-2.34,,0,,,11:23:36,00,,Y,N,0,0,Y,,2023-02-22 开始转股,计算使用5.5年期 评级为A+ 债参考YTM：8.9600,N,3.97,全价：137.487 最后更新：11:23:36,,,,,buy
123085,万顺转2,wsz2,139.694,-0.47,300057,万顺新材,wsxc,8.53,0.0,2.01,6.72,126.93,0,10.05,149.74,240301,szcy,C,2020-12-28,N,0,0,buy,AA-,,4.7,8.74,12.1,buy,26-12-10,3.723,5.712,3439.73,4718.26,4.27,-5.79,,0,本次不提前赎回，以2024年1月1日后首个交易日重新计算,G,11:23:36,00,R,Y,N,0,0,Y,,2021-06-17 开始转股,计算使用3.8年期 评级为AA- 债参考YTM：6.1686,N,9.0,全价：139.694 最后更新：11:23:36,,,,,buy
110048,福能转债,fnzz,191.576,-0.35,600483,福能股份,fngf,13.26,-0.75,1.39,7.64,173.56,0,10.38,201.96,410110,shmb,C,2018-12-28,N,0,0,buy,AA+,,5.35,9.93,5.5,buy,24-12-06,1.712,12.76,3926.7,6476.19,1.59,-27.56,,0,本次（2022年12月19日至2023年1月9日）不提前赎回，至2023年7月9日均不行使提前赎回权利,G,11:23:32,00,R,Y,N,0,0,Y,,2019-06-13 开始转股,计算使用1.8年期 评级为AA+ 债参考YTM：3.0359,N,28.3,全价：191.576 最后更新：11:23:32,,,,,buy
123112,万讯转债,wxzz,146.569,-0.54,300112,万讯自控,wxzk,11.58,-1.36,2.81,8.73,132.76,0,10.4,156.97,640107,szcy,C,2021-04-23,N,0,0,buy,AA-,,6.11,11.35,9.2,buy,27-04-07,4.047,2.452,5151.77,8932.24,14.27,-4.14,,0,,,11:23:36,00,,Y,N,0,0,Y,,2021-10-14 开始转股,计算使用4.1年期 评级为AA- 债参考YTM：6.1958,N,2.457,全价：146.569 最后更新：11:23:36,,,,,buy
110084,贵燃转债,grzz,125.177,0.29,600903,贵州燃气,gzrq,8.13,-0.49,3.29,7.18,113.37,0,10.41,135.59,410301,shmb,C,2022-01-18,N,0,0,buy,AA,,5.03,9.33,10.8,buy,27-12-27,4.77,9.994,1569.72,1707.56,1.25,-1.83,,0,,,11:23:34,00,R,Y,N,1,1,Y,转股价下修1次，成功下修1次,2022-07-01 开始转股,计算使用4.8年期 评级为AA 债参考YTM：3.9590,N,10.0,全价：125.177 最后更新：11:23:34,,,,,buy
128091,新天转债,xtzz,194.6,-0.49,002873,新天药业,xtyy,14.45,-0.89,3.31,8.21,176.13,0,10.49,205.09,370201,szmb,C,2020-01-17,N,0,0,buy,A+,,5.75,10.67,4.8,buy,25-12-30,2.778,1.526,15491.39,3821.05,51.62,-16.94,,0,本次（2023年1月3日至2023年1月30日）不提前赎回，以2023年6月30日后首个交易日重新计算,G,11:23:36,00,,Y,N,0,0,Y,,2020-07-06 开始转股,计算使用2.8年期 评级为A+ 债参考YTM：8.4010,N,1.77,全价：194.600 最后更新：11:23:36,,,,,buy
127063,贵轮转债,glzz,128.715,-0.4,000589,贵州轮胎,gzlt,5.35,0.0,0.95,4.6,116.3,0,10.67,139.39,280204,szmb,C,2022-05-30,N,0,0,buy,AA,,3.22,5.98,30.2,buy,28-04-21,5.088,17.996,2543.51,3373.31,1.09,-2.21,,0,,,11:23:36,00,R,Y,N,0,0,Y,,2022-10-28 开始转股,计算使用5.1年期 评级为AA 债参考YTM：4.0301,N,18.0,全价：128.715 最后更新：11:23:36,,,,,buy
123164,法本转债,fbzz,157.003,1.23,300925,法本信息,fbxx,15.76,1.81,4.39,11.12,141.73,36,10.78,167.78,710401,szcy,C,2022-11-14,N,0,0,buy,A+,,7.78,14.46,19.0,buy,28-10-20,5.586,6.007,6841.17,14388.52,7.31,-4.57,,0,,,11:23:36,00,R,Y,N,0,0,Y,,未到转股期；2023-04-27 开始转股,计算使用5.6年期 评级为A+ 债参考YTM：8.9758,N,6.01,全价：157.003 最后更新：11:23:36,,,,,buy
118021,新致转债,xzzz,142.977,1.5,688590,新致软件,xzrj,13.71,2.24,2.89,10.68,128.37,19,11.38,154.36,710401,shkc,C,2022-11-02,N,0,0,buy,A,,7.48,13.88,22.0,buy,28-09-26,5.521,4.85,4836.24,12223.7,7.03,-3.46,,0,,,11:23:35,00,R,Y,N,0,0,Y,,未到转股期；2023-04-10 开始转股,计算使用5.6年期 评级为A 债参考YTM：11.2658,N,4.85,全价：142.977 最后更新：11:23:35,,,,,buy
128140,润建转债,rjzz,216.209,5.72,002929,润建股份,rjgf,50.84,5.94,2.79,26.2,193.85,0,11.53,227.74,730103,szmb,C,2020-12-29,N,0,0,buy,AA,,18.34,34.06,13.4,buy,26-12-04,3.707,10.894,59915.67,12940.85,25.83,-16.03,,0,本次（2022年12月1日至2022年12月30日）不提前赎回，至2023年6月30日均不提前赎回,G,11:23:36,00,,Y,N,0,0,Y,,2021-06-15 开始转股,计算使用3.8年期 评级为AA 债参考YTM：3.7686,N,10.9,全价：216.209 最后更新：11:23:36,,,,,buy
128106,华统转债,htzz,203.698,0.06,002840,华统股份,htgf,16.09,-0.31,3.72,8.85,181.81,0,12.04,215.74,340401,szmb,C,2020-05-08,N,0,0,buy,AA,,6.2,11.51,3.9,buy,26-04-09,3.052,2.869,5425.91,3996.26,9.19,-18.03,,0,本次（2023年1月18日至2023年2月14日）不提前赎回，以2023年8月14日后首个交易日重新计算,G,11:23:36,00,R,Y,N,0,0,Y,,2020-10-16 开始转股,计算使用3.1年期 评级为AA 债参考YTM：3.6858,N,5.5,全价：203.698 最后更新：11:23:36,,,,,buy
128083,新北转债,xbzz,129.966,0.84,002376,新北洋,xby,7.72,0.65,1.52,6.65,115.94,0,12.1,142.07,710103,szmb,C,2019-12-31,N,0,0,buy,AA,,4.66,8.65,18.0,buy,25-12-12,2.729,8.768,1590.8,1807.89,1.4,-4.98,,0,,,11:23:36,00,R,Y,N,1,1,Y,转股价下修1次，成功下修1次,2020-06-18 开始转股,计算使用2.8年期 评级为AA 债参考YTM：3.5601,N,8.77,全价：129.966 最后更新：11:23:36,,,,,buy
113647,禾丰转债,hfzz,128.515,0.81,603609,禾丰股份,hfgf,11.74,0.86,1.54,10.26,114.62,0,12.12,140.64,110402,shmb,C,2022-05-18,N,0,0,buy,AA,,7.18,13.34,13.6,buy,28-04-22,5.09,14.67,2388.32,2659.57,1.27,-1.85,,0,,,11:23:31,00,R,Y,N,0,0,Y,,2022-10-28 开始转股,计算使用5.1年期 评级为AA 债参考YTM：4.0301,N,15.0,全价：128.515 最后更新：11:23:31,,,,,buy
