Date,000832.CSI
2021-02-25,367.6534
2021-02-26,365.4430
2021-03-01,368.2858
2021-03-02,367.1098
2021-03-03,370.5212
2021-03-04,367.3761
2021-03-05,367.1697
2021-03-08,364.1688
2021-03-09,362.5157
2021-03-10,363.0973
2021-03-11,366.9414
2021-03-12,368.3391
2021-03-15,367.8377
2021-03-16,368.4633
2021-03-17,368.7283
2021-03-18,369.8939
2021-03-19,368.3957
2021-03-22,370.8450
2021-03-23,368.3516
2021-03-24,364.7849
2021-03-25,363.9341
2021-03-26,366.2933
2021-03-29,367.0848
2021-03-30,367.2079
2021-03-31,366.8333
2021-04-01,368.1980
2021-04-02,368.4397
2021-04-06,368.9844
2021-04-07,369.5795
2021-04-08,370.1975
2021-04-09,369.8178
2021-04-12,367.7174
2021-04-13,366.5220
2021-04-14,367.4490
2021-04-15,367.2921
2021-04-16,368.7708
2021-04-19,372.1746
2021-04-20,372.5228
2021-04-21,371.7523
2021-04-22,371.8972
2021-04-23,371.4306
2021-04-26,371.0019
2021-04-27,369.8028
2021-04-28,370.3760
2021-04-29,372.0387
2021-04-30,371.4236
2021-05-06,372.8429
2021-05-07,372.4749
2021-05-10,373.8138
2021-05-11,373.7445
2021-05-12,375.3334
2021-05-13,373.7953
2021-05-14,375.7652
2021-05-17,376.3881
2021-05-18,377.2884
2021-05-19,377.1034
2021-05-20,376.3770
2021-05-21,376.6030
2021-05-24,377.1315
2021-05-25,379.9732
2021-05-26,381.6797
2021-05-27,383.0224
2021-05-28,382.8182
2021-05-31,383.2427
2021-06-01,383.6527
2021-06-02,382.6231
2021-06-03,383.0599
2021-06-04,383.1178
2021-06-07,382.7529
2021-06-08,381.7396
2021-06-09,381.8902
2021-06-10,382.8999
2021-06-11,382.4867
2021-06-15,379.7840
2021-06-16,375.8600
2021-06-17,375.5959
2021-06-18,376.1985
2021-06-21,377.5462
2021-06-22,380.0212
2021-06-23,381.5850
2021-06-24,382.2409
2021-06-25,383.7151
2021-06-28,384.4326
2021-06-29,382.7604
2021-06-30,383.1746
2021-07-01,381.6565
2021-07-02,380.0210
2021-07-05,380.7353
2021-07-06,381.3496
2021-07-07,384.0936
2021-07-08,385.3142
2021-07-09,387.2094
2021-07-12,389.8899
2021-07-13,392.5189
2021-07-14,391.2355
2021-07-15,392.2936
2021-07-16,392.4484
2021-07-19,391.0536
2021-07-20,390.9321
2021-07-21,394.7012
2021-07-22,397.1846
2021-07-23,397.9629
2021-07-26,394.9567
2021-07-27,390.6355
2021-07-28,388.2662
2021-07-29,393.4777
2021-07-30,394.4459
2021-08-02,398.6259
2021-08-03,396.5956
2021-08-04,399.9021
2021-08-05,398.8494
2021-08-06,399.4312
2021-08-09,399.3730
2021-08-10,400.7628
2021-08-11,402.6189
2021-08-12,403.2486
2021-08-13,403.8807
2021-08-16,403.3937
2021-08-17,399.1793
2021-08-18,400.7844
2021-08-19,400.4540
2021-08-20,399.4716
2021-08-23,402.2130
2021-08-24,404.6199
2021-08-25,405.9084
2021-08-26,405.4712
2021-08-27,406.7516
2021-08-30,408.6645
2021-08-31,409.6054
2021-09-01,410.4990
2021-09-02,416.4013
2021-09-03,415.6746
2021-09-06,418.1269
2021-09-07,423.4562
2021-09-08,424.6167
2021-09-09,424.6316
2021-09-10,424.4238
2021-09-13,425.2236
2021-09-14,421.0035
2021-09-15,420.6967
2021-09-16,413.4646
2021-09-17,413.3462
2021-09-22,415.1055
2021-09-23,417.1951
2021-09-24,414.1660
2021-09-27,407.5991
2021-09-28,409.1533
2021-09-29,402.7527
2021-09-30,407.6524
2021-10-08,407.7653
2021-10-11,407.1339
2021-10-12,401.3030
2021-10-13,401.0766
2021-10-14,402.5590
2021-10-15,404.4551
2021-10-18,406.6450
2021-10-19,408.8601
